22:20:26 macro number 918 / 3982, complete paths 0, partial paths 157000 (to-do list 24 / 66)
22:20:56 macro number 918 / 3982, complete paths 0, partial paths 158000 (to-do list 13 / 66)
22:21:24 macro number 918 / 3982, complete paths 0, partial paths 159000 (to-do list 33 / 66)
22:21:54 macro number 918 / 3982, complete paths 0, partial paths 160000 (to-do list 19 / 66)
22:22:24 macro number 918 / 3982, complete paths 0, partial paths 161000 (to-do list 8 / 66)
22:22:53 macro number 918 / 3982, complete paths 0, partial paths 162000 (to-do list 9 / 66)
22:23:22 macro number 919 / 3982, complete paths 0, partial paths 163000 (to-do list 32 / 66)
22:23:52 macro number 919 / 3982, complete paths 0, partial paths 164000 (to-do list 19 / 66)
22:24:21 macro number 919 / 3982, complete paths 0, partial paths 165000 (to-do list 34 / 66)
22:24:50 macro number 919 / 3982, complete paths 0, partial paths 166000 (to-do list 27 / 66)
22:25:20 macro number 919 / 3982, complete paths 0, partial paths 167000 (to-do list 14 / 66)
22:25:49 macro number 919 / 3982, complete paths 0, partial paths 168000 (to-do list 36 / 66)
22:26:19 macro number 919 / 3982, complete paths 0, partial paths 169000 (to-do list 4 / 66)
22:26:48 macro number 920 / 3982, complete paths 0, partial paths 170000 (to-do list 29 / 66)
22:27:17 macro number 920 / 3982, complete paths 0, partial paths 171000 (to-do list 18 / 66)
22:27:46 macro number 920 / 3982, complete paths 0, partial paths 172000 (to-do list 35 / 66)
22:28:16 macro number 920 / 3982, complete paths 0, partial paths 173000 (to-do list 24 / 66)
22:28:46 macro number 920 / 3982, complete paths 0, partial paths 174000 (to-do list 11 / 66)
22:29:15 macro number 920 / 3982, complete paths 0, partial paths 175000 (to-do list 30 / 66)
22:29:45 macro number 920 / 3982, complete paths 0, partial paths 176000 (to-do list 11 / 66)
22:30:14 macro number 921 / 3982, complete paths 0, partial paths 177000 (to-do list 23 / 66)
22:30:44 macro number 921 / 3982, complete paths 0, partial paths 178000 (to-do list 12 / 66)
